País,Capacidad_kW,DC_AC_Ratio,Tilt,Azimuth,Energía_MWh,LCOE_$_kWh
ESP,10000,1.4,32.5,90,13730.08,0.0187
ESP,10000,1.0,32.5,90,13712.25,0.0188
ESP,10000,1.1,27.5,270,13411.38,0.0189
ESP,10000,1.1,37.5,90,13410.56,0.0189
ESP,10000,1.2,27.5,270,13420.35,0.0189
ESP,10000,1.2,37.5,90,13419.22,0.0189
ESP,10000,1.3,27.5,270,13426.32,0.0189
ESP,10000,1.3,37.5,90,13424.83,0.0189
ESP,10000,1.4,27.5,270,13425.99,0.0189
ESP,10000,1.4,37.5,90,13415.11,0.0189
ESP,10000,1.0,27.5,270,13398.51,0.019
ESP,10000,1.0,37.5,90,13398.0,0.019
ESP,10000,1.0,32.5,270,13058.13,0.0192
ESP,10000,1.0,42.5,90,13057.56,0.0192
ESP,10000,1.1,32.5,270,13071.28,0.0192
ESP,10000,1.1,42.5,90,13070.41,0.0192
ESP,10000,1.2,32.5,270,13080.54,0.0192
ESP,10000,1.2,42.5,90,13079.37,0.0192
ESP,10000,1.3,32.5,270,13086.79,0.0192
ESP,10000,1.3,42.5,90,13085.28,0.0192
ESP,10000,1.4,32.5,270,13086.54,0.0192
ESP,10000,1.4,42.5,90,13074.74,0.0192
ESP,10000,1.0,37.5,270,12706.06,0.0194
ESP,10000,1.1,37.5,270,12719.53,0.0194
ESP,10000,1.1,47.5,90,12708.68,0.0194
ESP,10000,1.2,37.5,270,12729.1,0.0194
ESP,10000,1.2,47.5,90,12718.0,0.0194
ESP,10000,1.3,37.5,270,12735.68,0.0194
ESP,10000,1.3,47.5,90,12724.24,0.0194
ESP,10000,1.4,37.5,270,12735.84,0.0194
ESP,10000,1.4,47.5,90,12715.0,0.0194
ESP,10000,1.0,47.5,90,12695.48,0.0195
ESP,10000,1.0,42.5,270,12334.82,0.0197
ESP,10000,1.1,42.5,270,12348.64,0.0197
ESP,10000,1.2,42.5,270,12358.58,0.0197
ESP,10000,1.3,42.5,270,12365.51,0.0197
ESP,10000,1.4,42.5,270,12366.44,0.0197
ESP,10000,1.0,47.5,270,11950.06,0.02
ESP,10000,1.1,47.5,270,11964.28,0.02
ESP,10000,1.2,47.5,270,11974.62,0.02
ESP,10000,1.3,47.5,270,11981.96,0.02
ESP,10000,1.4,47.5,270,11983.74,0.02
ESP,5000,1.0,27.5,180,8309.57,0.0244
ESP,5000,1.0,32.5,180,8309.65,0.0244
ESP,5000,1.1,27.5,180,8313.93,0.0244
ESP,5000,1.1,32.5,180,8313.95,0.0244
ESP,5000,1.2,27.5,180,8316.35,0.0244
ESP,5000,1.2,32.5,180,8316.31,0.0244
ESP,5000,1.3,27.5,180,8315.55,0.0244
ESP,5000,1.3,32.5,180,8314.35,0.0244
ESP,5000,1.0,37.5,180,8260.97,0.0245
ESP,5000,1.1,37.5,180,8265.29,0.0245
ESP,5000,1.2,37.5,180,8267.66,0.0245
ESP,5000,1.3,37.5,180,8263.31,0.0245
ESP,5000,1.4,27.5,180,8289.74,0.0245
ESP,5000,1.4,32.5,180,8280.45,0.0245
ESP,5000,1.4,37.5,180,8221.27,0.0246
ESP,5000,1.0,42.5,180,8165.71,0.0247
ESP,5000,1.1,42.5,180,8170.13,0.0247
ESP,5000,1.2,42.5,180,8172.57,0.0247
ESP,5000,1.3,42.5,180,8165.67,0.0247
ESP,5000,1.4,42.5,180,8117.41,0.0248
ESP,5000,1.1,47.5,180,8027.93,0.0249
ESP,5000,1.2,47.5,180,8030.49,0.0249
ESP,5000,1.0,27.5,135,7981.93,0.025
ESP,5000,1.0,47.5,180,8023.34,0.025
ESP,5000,1.1,27.5,135,7986.66,0.025
ESP,5000,1.2,27.5,135,7989.45,0.025
ESP,5000,1.3,27.5,135,7989.85,0.025
ESP,5000,1.3,47.5,180,8021.92,0.025
ESP,5000,1.0,32.5,135,7948.34,0.0251
ESP,5000,1.1,32.5,135,7953.03,0.0251
ESP,5000,1.2,32.5,135,7955.77,0.0251
ESP,5000,1.3,32.5,135,7955.65,0.0251
ESP,5000,1.4,27.5,135,7970.08,0.0251
ESP,5000,1.4,32.5,135,7931.16,0.0251
ESP,5000,1.4,47.5,180,7970.74,0.0251
ESP,5000,1.0,37.5,135,7878.19,0.0252
ESP,5000,1.1,37.5,135,7882.91,0.0252
ESP,5000,1.2,37.5,135,7885.67,0.0252
ESP,5000,1.3,37.5,135,7885.06,0.0252
ESP,5000,1.4,37.5,135,7855.66,0.0253
ESP,5000,1.0,42.5,135,7776.29,0.0254
ESP,5000,1.1,42.5,135,7781.09,0.0254
ESP,5000,1.2,42.5,135,7783.94,0.0254
ESP,5000,1.3,42.5,135,7782.82,0.0254
ESP,5000,1.0,27.5,225,7756.46,0.0255
ESP,5000,1.1,27.5,225,7761.49,0.0255
ESP,5000,1.2,27.5,225,7764.57,0.0255
ESP,5000,1.3,27.5,225,7765.62,0.0255
ESP,5000,1.4,27.5,225,7752.99,0.0255
ESP,5000,1.4,42.5,135,7749.13,0.0255
ESP,5000,1.0,32.5,225,7702.01,0.0256
ESP,5000,1.1,32.5,225,7707.03,0.0256
ESP,5000,1.2,32.5,225,7710.11,0.0256
ESP,5000,1.3,32.5,225,7710.97,0.0256
ESP,5000,1.4,32.5,225,7696.68,0.0256
ESP,5000,1.0,47.5,135,7632.94,0.0257
ESP,5000,1.1,47.5,135,7637.89,0.0257
ESP,5000,1.2,47.5,135,7640.89,0.0257
ESP,5000,1.3,47.5,135,7639.19,0.0257
ESP,5000,1.0,37.5,225,7609.07,0.0258
ESP,5000,1.1,37.5,225,7614.14,0.0258
ESP,5000,1.2,37.5,225,7617.27,0.0258
ESP,5000,1.3,37.5,225,7618.19,0.0258
ESP,5000,1.4,37.5,225,7601.93,0.0258
ESP,5000,1.4,47.5,135,7603.76,0.0258
ESP,5000,1.0,42.5,225,7487.6,0.026
ESP,5000,1.1,42.5,225,7492.78,0.026
ESP,5000,1.2,42.5,225,7496.02,0.026
ESP,5000,1.3,42.5,225,7497.23,0.026
ESP,5000,1.4,42.5,225,7479.17,0.026
ESP,5000,1.1,47.5,225,7340.97,0.0263
ESP,5000,1.2,47.5,225,7344.38,0.0263
ESP,5000,1.3,47.5,225,7345.8,0.0263
ESP,5000,1.0,47.5,225,7335.61,0.0264
ESP,5000,1.4,47.5,225,7326.73,0.0264
ESP,5000,1.0,27.5,90,7000.96,0.0271
ESP,5000,1.1,27.5,90,7007.02,0.0271
ESP,5000,1.2,27.5,90,7011.13,0.0271
ESP,5000,1.3,27.5,90,7013.73,0.0271
ESP,5000,1.4,27.5,90,7010.5,0.0271
ESP,5000,1.0,32.5,90,6856.13,0.0275
ESP,5000,1.1,32.5,90,6862.28,0.0275
ESP,5000,1.2,32.5,90,6866.49,0.0275
ESP,5000,1.3,32.5,90,6869.17,0.0275
ESP,5000,1.4,32.5,90,6865.04,0.0275
ESP,5000,1.0,27.5,270,6699.26,0.0279
ESP,5000,1.0,37.5,90,6699.0,0.0279
ESP,5000,1.1,27.5,270,6705.69,0.0279
ESP,5000,1.1,37.5,90,6705.28,0.0279
ESP,5000,1.2,27.5,270,6710.18,0.0279
ESP,5000,1.2,37.5,90,6709.61,0.0279
ESP,5000,1.3,27.5,270,6713.16,0.0279
ESP,5000,1.3,37.5,90,6712.42,0.0279
ESP,5000,1.4,27.5,270,6712.99,0.0279
ESP,5000,1.4,37.5,90,6707.56,0.0279
ESP,5000,1.2,32.5,270,6540.27,0.0283
ESP,5000,1.2,42.5,90,6539.68,0.0283
ESP,5000,1.3,32.5,270,6543.39,0.0283
ESP,5000,1.3,42.5,90,6542.64,0.0283
ESP,5000,1.4,32.5,270,6543.27,0.0283
ESP,5000,1.0,32.5,270,6529.07,0.0284
ESP,5000,1.0,42.5,90,6528.78,0.0284
ESP,5000,1.1,32.5,270,6535.64,0.0284
ESP,5000,1.1,42.5,90,6535.21,0.0284
ESP,5000,1.4,42.5,90,6537.37,0.0284
ESP,5000,1.3,37.5,270,6367.84,0.0288
ESP,5000,1.4,37.5,270,6367.92,0.0288
ESP,5000,1.0,37.5,270,6353.03,0.0289
ESP,5000,1.0,47.5,90,6347.74,0.0289
ESP,5000,1.1,37.5,270,6359.77,0.0289
ESP,5000,1.1,47.5,90,6354.34,0.0289
ESP,5000,1.2,37.5,270,6364.55,0.0289
ESP,5000,1.2,47.5,90,6359.0,0.0289
ESP,5000,1.3,47.5,90,6362.12,0.0289
ESP,5000,1.4,47.5,90,6357.5,0.0289
ESP,5000,1.1,42.5,270,6174.32,0.0294
ESP,5000,1.2,42.5,270,6179.29,0.0294
ESP,5000,1.3,42.5,270,6182.76,0.0294
ESP,5000,1.4,42.5,270,6183.22,0.0294
ESP,5000,1.0,42.5,270,6167.41,0.0295
ESP,5000,1.2,47.5,270,5987.31,0.03
ESP,5000,1.3,47.5,270,5990.98,0.03
ESP,5000,1.4,47.5,270,5991.87,0.03
ESP,5000,1.0,47.5,270,5975.03,0.0301
ESP,5000,1.1,47.5,270,5982.14,0.0301
ESP,1000,1.2,27.5,180,1663.27,0.0821
ESP,1000,1.2,32.5,180,1663.26,0.0821
ESP,1000,1.0,27.5,180,1661.91,0.0822
ESP,1000,1.0,32.5,180,1661.93,0.0822
ESP,1000,1.1,27.5,180,1662.79,0.0822
ESP,1000,1.1,32.5,180,1662.79,0.0822
ESP,1000,1.3,27.5,180,1663.11,0.0822
ESP,1000,1.3,32.5,180,1662.87,0.0822
ESP,1000,1.4,27.5,180,1657.95,0.0824
ESP,1000,1.4,32.5,180,1656.09,0.0825
ESP,1000,1.0,37.5,180,1652.19,0.0826
ESP,1000,1.1,37.5,180,1653.06,0.0826
ESP,1000,1.2,37.5,180,1653.53,0.0826
ESP,1000,1.3,37.5,180,1652.66,0.0826
ESP,1000,1.4,37.5,180,1644.25,0.083
ESP,1000,1.1,42.5,180,1634.03,0.0834
ESP,1000,1.2,42.5,180,1634.51,0.0834
ESP,1000,1.0,42.5,180,1633.14,0.0835
ESP,1000,1.3,42.5,180,1633.13,0.0835
ESP,1000,1.4,42.5,180,1623.48,0.0839
ESP,1000,1.1,47.5,180,1605.59,0.0847
ESP,1000,1.2,47.5,180,1606.1,0.0847
ESP,1000,1.0,47.5,180,1604.67,0.0848
ESP,1000,1.3,47.5,180,1604.38,0.0848
ESP,1000,1.1,27.5,135,1597.33,0.0851
ESP,1000,1.2,27.5,135,1597.89,0.0851
ESP,1000,1.3,27.5,135,1597.97,0.0851
ESP,1000,1.0,27.5,135,1596.39,0.0852
ESP,1000,1.4,27.5,135,1594.02,0.0853
ESP,1000,1.4,47.5,180,1594.15,0.0853
ESP,1000,1.1,32.5,135,1590.61,0.0854
ESP,1000,1.2,32.5,135,1591.15,0.0854
ESP,1000,1.3,32.5,135,1591.13,0.0854
ESP,1000,1.0,32.5,135,1589.67,0.0855
ESP,1000,1.4,32.5,135,1586.23,0.0857
ESP,1000,1.1,37.5,135,1576.58,0.0861
ESP,1000,1.2,37.5,135,1577.13,0.0861
ESP,1000,1.3,37.5,135,1577.01,0.0861
ESP,1000,1.0,37.5,135,1575.64,0.0862
ESP,1000,1.4,37.5,135,1571.13,0.0864
ESP,1000,1.1,42.5,135,1556.22,0.0871
ESP,1000,1.2,42.5,135,1556.79,0.0871
ESP,1000,1.3,42.5,135,1556.56,0.0871
ESP,1000,1.0,42.5,135,1555.26,0.0872
ESP,1000,1.1,27.5,225,1552.3,0.0873
ESP,1000,1.2,27.5,225,1552.91,0.0873
ESP,1000,1.3,27.5,225,1553.12,0.0873
ESP,1000,1.0,27.5,225,1551.29,0.0874
ESP,1000,1.4,27.5,225,1550.6,0.0874
ESP,1000,1.4,42.5,135,1549.83,0.0874
ESP,1000,1.2,32.5,225,1542.02,0.0878
ESP,1000,1.3,32.5,225,1542.19,0.0878
ESP,1000,1.0,32.5,225,1540.4,0.0879
ESP,1000,1.1,32.5,225,1541.41,0.0879
ESP,1000,1.4,32.5,225,1539.34,0.088
ESP,1000,1.2,47.5,135,1528.18,0.0885
ESP,1000,1.3,47.5,135,1527.84,0.0885
ESP,1000,1.0,47.5,135,1526.59,0.0886
ESP,1000,1.1,47.5,135,1527.58,0.0886
ESP,1000,1.1,37.5,225,1522.83,0.0888
ESP,1000,1.2,37.5,225,1523.45,0.0888
ESP,1000,1.3,37.5,225,1523.64,0.0888
ESP,1000,1.0,37.5,225,1521.81,0.0889
ESP,1000,1.4,37.5,225,1520.39,0.0889
ESP,1000,1.4,47.5,135,1520.75,0.0889
ESP,1000,1.2,42.5,225,1499.2,0.09
ESP,1000,1.3,42.5,225,1499.45,0.09
ESP,1000,1.0,42.5,225,1497.52,0.0901
ESP,1000,1.1,42.5,225,1498.56,0.0901
ESP,1000,1.4,42.5,225,1495.83,0.0902
ESP,1000,1.1,47.5,225,1468.19,0.0917
ESP,1000,1.2,47.5,225,1468.88,0.0917
ESP,1000,1.3,47.5,225,1469.16,0.0917
ESP,1000,1.0,47.5,225,1467.12,0.0918
ESP,1000,1.4,47.5,225,1465.35,0.0919
ESP,1000,1.3,27.5,90,1402.75,0.0955
ESP,1000,1.1,27.5,90,1401.4,0.0956
ESP,1000,1.2,27.5,90,1402.23,0.0956
ESP,1000,1.4,27.5,90,1402.1,0.0956
ESP,1000,1.0,27.5,90,1400.19,0.0957
ESP,1000,1.3,32.5,90,1373.83,0.0973
ESP,1000,1.1,32.5,90,1372.46,0.0974
ESP,1000,1.2,32.5,90,1373.3,0.0974
ESP,1000,1.4,32.5,90,1373.01,0.0974
ESP,1000,1.0,32.5,90,1371.23,0.0975
ESP,1000,1.2,27.5,270,1342.04,0.0994
ESP,1000,1.2,37.5,90,1341.92,0.0994
ESP,1000,1.3,27.5,270,1342.63,0.0994
ESP,1000,1.3,37.5,90,1342.48,0.0994
ESP,1000,1.4,27.5,270,1342.6,0.0994
ESP,1000,1.1,27.5,270,1341.14,0.0995
ESP,1000,1.1,37.5,90,1341.06,0.0995
ESP,1000,1.4,37.5,90,1341.51,0.0995
ESP,1000,1.0,27.5,270,1339.85,0.0996
ESP,1000,1.0,37.5,90,1339.8,0.0996
ESP,1000,1.2,32.5,270,1308.05,0.1017
ESP,1000,1.2,42.5,90,1307.94,0.1017
ESP,1000,1.3,32.5,270,1308.68,0.1017
ESP,1000,1.3,42.5,90,1308.53,0.1017
ESP,1000,1.4,32.5,270,1308.65,0.1017
ESP,1000,1.1,32.5,270,1307.13,0.1018
ESP,1000,1.1,42.5,90,1307.04,0.1018
ESP,1000,1.4,42.5,90,1307.47,0.1018
ESP,1000,1.0,32.5,270,1305.81,0.1019
ESP,1000,1.0,42.5,90,1305.76,0.1019
ESP,1000,1.3,37.5,270,1273.57,0.1042
ESP,1000,1.4,37.5,270,1273.58,0.1042
ESP,1000,1.1,37.5,270,1271.95,0.1043
ESP,1000,1.2,37.5,270,1272.91,0.1043
ESP,1000,1.3,47.5,90,1272.42,0.1043
ESP,1000,1.0,37.5,270,1270.61,0.1044
ESP,1000,1.1,47.5,90,1270.87,0.1044
ESP,1000,1.2,47.5,90,1271.8,0.1044
ESP,1000,1.4,47.5,90,1271.5,0.1044
ESP,1000,1.0,47.5,90,1269.55,0.1045
ESP,1000,1.3,42.5,270,1236.55,0.107
ESP,1000,1.4,42.5,270,1236.64,0.107
ESP,1000,1.2,42.5,270,1235.86,0.1071
ESP,1000,1.1,42.5,270,1234.86,0.1072
ESP,1000,1.0,42.5,270,1233.48,0.1073
ESP,1000,1.4,47.5,270,1198.37,0.1101
ESP,1000,1.2,47.5,270,1197.46,0.1102
ESP,1000,1.3,47.5,270,1198.2,0.1102
ESP,1000,1.1,47.5,270,1196.43,0.1103
ESP,1000,1.0,47.5,270,1195.01,0.1104
ESP,500,1.1,27.5,180,831.39,0.1543
ESP,500,1.1,32.5,180,831.4,0.1543
ESP,500,1.2,27.5,180,831.64,0.1543
ESP,500,1.2,32.5,180,831.63,0.1543
ESP,500,1.3,27.5,180,831.55,0.1543
ESP,500,1.3,32.5,180,831.43,0.1543
ESP,500,1.0,27.5,180,830.96,0.1544
ESP,500,1.0,32.5,180,830.96,0.1544
ESP,500,1.4,27.5,180,828.97,0.1548
ESP,500,1.4,32.5,180,828.04,0.1549
ESP,500,1.2,37.5,180,826.77,0.1551
ESP,500,1.1,37.5,180,826.53,0.1552
ESP,500,1.3,37.5,180,826.33,0.1552
ESP,500,1.0,37.5,180,826.1,0.1553
ESP,500,1.4,37.5,180,822.13,0.156
ESP,500,1.2,42.5,180,817.26,0.1568
ESP,500,1.1,42.5,180,817.01,0.1569
ESP,500,1.0,42.5,180,816.57,0.157
ESP,500,1.3,42.5,180,816.57,0.157
ESP,500,1.4,42.5,180,811.74,0.1578
ESP,500,1.2,47.5,180,803.05,0.1594
ESP,500,1.1,47.5,180,802.79,0.1595
ESP,500,1.0,47.5,180,802.33,0.1596
ESP,500,1.3,47.5,180,802.19,0.1596
ESP,500,1.2,27.5,135,798.94,0.1602
ESP,500,1.3,27.5,135,798.99,0.1602
ESP,500,1.0,27.5,135,798.19,0.1603
ESP,500,1.1,27.5,135,798.67,0.1603
ESP,500,1.4,27.5,135,797.01,0.1606
ESP,500,1.4,47.5,180,797.07,0.1606
ESP,500,1.2,32.5,135,795.58,0.1608
ESP,500,1.3,32.5,135,795.57,0.1608
ESP,500,1.1,32.5,135,795.3,0.1609
ESP,500,1.0,32.5,135,794.83,0.161
ESP,500,1.4,32.5,135,793.12,0.1613
ESP,500,1.1,37.5,135,788.29,0.1622
ESP,500,1.2,37.5,135,788.57,0.1622
ESP,500,1.3,37.5,135,788.51,0.1622
ESP,500,1.0,37.5,135,787.82,0.1623
ESP,500,1.4,37.5,135,785.57,0.1628
ESP,500,1.1,42.5,135,778.11,0.1642
ESP,500,1.2,42.5,135,778.39,0.1642
ESP,500,1.3,42.5,135,778.28,0.1642
ESP,500,1.0,42.5,135,777.63,0.1643
ESP,500,1.2,27.5,225,776.46,0.1645
ESP,500,1.3,27.5,225,776.56,0.1645
ESP,500,1.1,27.5,225,776.15,0.1646
ESP,500,1.0,27.5,225,775.65,0.1647
ESP,500,1.4,27.5,225,775.3,0.1648
ESP,500,1.4,42.5,135,774.91,0.1649
ESP,500,1.2,32.5,225,771.01,0.1656
ESP,500,1.3,32.5,225,771.1,0.1656
ESP,500,1.1,32.5,225,770.7,0.1657
ESP,500,1.0,32.5,225,770.2,0.1658
ESP,500,1.4,32.5,225,769.67,0.1659
ESP,500,1.2,47.5,135,764.09,0.167
ESP,500,1.1,47.5,135,763.79,0.1671
ESP,500,1.3,47.5,135,763.92,0.1671
ESP,500,1.0,47.5,135,763.29,0.1672
ESP,500,1.2,37.5,225,761.73,0.1675
ESP,500,1.3,37.5,225,761.82,0.1675
ESP,500,1.1,37.5,225,761.41,0.1676
ESP,500,1.0,37.5,225,760.91,0.1677
ESP,500,1.4,47.5,135,760.38,0.1678
ESP,500,1.4,37.5,225,760.19,0.1679
ESP,500,1.2,42.5,225,749.6,0.1701
ESP,500,1.3,42.5,225,749.72,0.1701
ESP,500,1.1,42.5,225,749.28,0.1702
ESP,500,1.0,42.5,225,748.76,0.1703
ESP,500,1.4,42.5,225,747.92,0.1704
ESP,500,1.2,47.5,225,734.44,0.1734
ESP,500,1.3,47.5,225,734.58,0.1734
ESP,500,1.1,47.5,225,734.1,0.1735
ESP,500,1.0,47.5,225,733.56,0.1736
ESP,500,1.4,47.5,225,732.67,0.1738
ESP,500,1.3,27.5,90,701.37,0.1811
ESP,500,1.2,27.5,90,701.11,0.1812
ESP,500,1.4,27.5,90,701.05,0.1812
ESP,500,1.1,27.5,90,700.7,0.1813
ESP,500,1.0,27.5,90,700.1,0.1814
ESP,500,1.3,32.5,90,686.92,0.1847
ESP,500,1.2,32.5,90,686.65,0.1848
ESP,500,1.4,32.5,90,686.5,0.1848
ESP,500,1.1,32.5,90,686.23,0.1849
ESP,500,1.0,32.5,90,685.61,0.185
ESP,500,1.2,27.5,270,671.02,0.1888
ESP,500,1.2,37.5,90,670.96,0.1888
ESP,500,1.3,27.5,270,671.32,0.1888
ESP,500,1.3,37.5,90,671.24,0.1888
ESP,500,1.4,27.5,270,671.3,0.1888
ESP,500,1.4,37.5,90,670.76,0.1889
ESP,500,1.1,27.5,270,670.57,0.189
ESP,500,1.1,37.5,90,670.53,0.189
ESP,500,1.0,27.5,270,669.93,0.1891
ESP,500,1.0,37.5,90,669.9,0.1891
ESP,500,1.3,32.5,270,654.34,0.1934
ESP,500,1.3,42.5,90,654.26,0.1934
ESP,500,1.4,32.5,270,654.33,0.1934
ESP,500,1.2,32.5,270,654.03,0.1935
ESP,500,1.2,42.5,90,653.97,0.1935
ESP,500,1.1,32.5,270,653.56,0.1936
ESP,500,1.1,42.5,90,653.52,0.1936
ESP,500,1.4,42.5,90,653.74,0.1936
ESP,500,1.0,32.5,270,652.91,0.1938
ESP,500,1.0,42.5,90,652.88,0.1938
ESP,500,1.3,37.5,270,636.78,0.1984
ESP,500,1.4,37.5,270,636.79,0.1984
ESP,500,1.2,37.5,270,636.46,0.1985
ESP,500,1.3,47.5,90,636.21,0.1986
ESP,500,1.1,37.5,270,635.98,0.1987
ESP,500,1.2,47.5,90,635.9,0.1987
ESP,500,1.1,47.5,90,635.43,0.1988
ESP,500,1.4,47.5,90,635.75,0.1988
ESP,500,1.0,37.5,270,635.3,0.1989
ESP,500,1.0,47.5,90,634.77,0.199
ESP,500,1.3,42.5,270,618.28,0.2041
ESP,500,1.4,42.5,270,618.32,0.2041
ESP,500,1.2,42.5,270,617.93,0.2042
ESP,500,1.1,42.5,270,617.43,0.2044
ESP,500,1.0,42.5,270,616.74,0.2046
ESP,500,1.3,47.5,270,599.1,0.2103
ESP,500,1.4,47.5,270,599.19,0.2103
ESP,500,1.2,47.5,270,598.73,0.2104
ESP,500,1.1,47.5,270,598.21,0.2106
ESP,500,1.0,47.5,270,597.5,0.2108
ESP,100,1.2,27.5,180,166.33,0.7315
ESP,100,1.2,32.5,180,166.33,0.7315
ESP,100,1.3,27.5,180,166.31,0.7315
ESP,100,1.3,32.5,180,166.29,0.7316
ESP,100,1.1,27.5,180,166.28,0.7317
ESP,100,1.1,32.5,180,166.28,0.7317
ESP,100,1.0,27.5,180,166.19,0.7321
ESP,100,1.0,32.5,180,166.19,0.7321
ESP,100,1.4,27.5,180,165.79,0.7338
ESP,100,1.4,32.5,180,165.61,0.7346
ESP,100,1.2,37.5,180,165.35,0.7357
ESP,100,1.1,37.5,180,165.31,0.7359
ESP,100,1.3,37.5,180,165.27,0.7361
ESP,100,1.0,37.5,180,165.22,0.7363
ESP,100,1.4,37.5,180,164.43,0.7398
ESP,100,1.2,42.5,180,163.45,0.7442
ESP,100,1.1,42.5,180,163.4,0.7444
ESP,100,1.0,42.5,180,163.31,0.7448
ESP,100,1.3,42.5,180,163.31,0.7448
ESP,100,1.4,42.5,180,162.35,0.7492
ESP,100,1.2,47.5,180,160.61,0.7572
ESP,100,1.1,47.5,180,160.56,0.7574
ESP,100,1.0,47.5,180,160.47,0.7578
ESP,100,1.3,47.5,180,160.44,0.758
ESP,100,1.2,27.5,135,159.79,0.761
ESP,100,1.3,27.5,135,159.8,0.761
ESP,100,1.1,27.5,135,159.73,0.7613
ESP,100,1.0,27.5,135,159.64,0.7617
ESP,100,1.4,27.5,135,159.4,0.7628
ESP,100,1.4,47.5,180,159.41,0.7628
ESP,100,1.2,32.5,135,159.12,0.7642
ESP,100,1.3,32.5,135,159.11,0.7642
ESP,100,1.1,32.5,135,159.06,0.7644
ESP,100,1.0,32.5,135,158.97,0.7649
ESP,100,1.4,32.5,135,158.62,0.7665
ESP,100,1.2,37.5,135,157.71,0.7709
ESP,100,1.3,37.5,135,157.7,0.7709
ESP,100,1.1,37.5,135,157.66,0.7711
ESP,100,1.0,37.5,135,157.56,0.7716
ESP,100,1.4,37.5,135,157.11,0.7738
ESP,100,1.2,42.5,135,155.68,0.7808
ESP,100,1.3,42.5,135,155.66,0.7809
ESP,100,1.1,42.5,135,155.62,0.7811
ESP,100,1.0,42.5,135,155.53,0.7816
ESP,100,1.3,27.5,225,155.31,0.7826
ESP,100,1.2,27.5,225,155.29,0.7827
ESP,100,1.1,27.5,225,155.23,0.783
ESP,100,1.0,27.5,225,155.13,0.7835
ESP,100,1.4,27.5,225,155.06,0.7839
ESP,100,1.4,42.5,135,154.98,0.7843
ESP,100,1.3,32.5,225,154.22,0.7881
ESP,100,1.2,32.5,225,154.2,0.7882
ESP,100,1.1,32.5,225,154.14,0.7885
ESP,100,1.0,32.5,225,154.04,0.789
ESP,100,1.4,32.5,225,153.93,0.7896
ESP,100,1.2,47.5,135,152.82,0.7952
ESP,100,1.3,47.5,135,152.78,0.7954
ESP,100,1.1,47.5,135,152.76,0.7956
ESP,100,1.0,47.5,135,152.66,0.7961
ESP,100,1.3,37.5,225,152.36,0.7976
ESP,100,1.2,37.5,225,152.35,0.7977
ESP,100,1.1,37.5,225,152.28,0.798
ESP,100,1.0,37.5,225,152.18,0.7985
ESP,100,1.4,47.5,135,152.08,0.7991
ESP,100,1.4,37.5,225,152.04,0.7993
ESP,100,1.3,42.5,225,149.94,0.8103
ESP,100,1.2,42.5,225,149.92,0.8104
ESP,100,1.1,42.5,225,149.86,0.8108
ESP,100,1.0,42.5,225,149.75,0.8113
ESP,100,1.4,42.5,225,149.58,0.8122
ESP,100,1.3,47.5,225,146.92,0.8268
ESP,100,1.2,47.5,225,146.89,0.827
ESP,100,1.1,47.5,225,146.82,0.8273
ESP,100,1.0,47.5,225,146.71,0.8279
ESP,100,1.4,47.5,225,146.53,0.8289
ESP,100,1.3,27.5,90,140.27,0.8655
ESP,100,1.2,27.5,90,140.22,0.8658
ESP,100,1.4,27.5,90,140.21,0.8659
ESP,100,1.1,27.5,90,140.14,0.8663
ESP,100,1.0,27.5,90,140.02,0.867
ESP,100,1.3,32.5,90,137.38,0.8835
ESP,100,1.2,32.5,90,137.33,0.8838
ESP,100,1.4,32.5,90,137.3,0.884
ESP,100,1.1,32.5,90,137.25,0.8843
ESP,100,1.0,32.5,90,137.12,0.8851
ESP,100,1.3,27.5,270,134.26,0.9038
ESP,100,1.4,27.5,270,134.26,0.9038
ESP,100,1.3,37.5,90,134.25,0.9039
ESP,100,1.2,27.5,270,134.2,0.9042
ESP,100,1.2,37.5,90,134.19,0.9042
ESP,100,1.4,37.5,90,134.15,0.9045
ESP,100,1.1,27.5,270,134.11,0.9048
ESP,100,1.1,37.5,90,134.11,0.9048
ESP,100,1.0,27.5,270,133.99,0.9056
ESP,100,1.0,37.5,90,133.98,0.9057
ESP,100,1.3,32.5,270,130.87,0.927
ESP,100,1.4,32.5,270,130.87,0.927
ESP,100,1.3,42.5,90,130.85,0.9271
ESP,100,1.2,32.5,270,130.81,0.9274
ESP,100,1.2,42.5,90,130.79,0.9275
ESP,100,1.4,42.5,90,130.75,0.9278
ESP,100,1.1,32.5,270,130.71,0.928
ESP,100,1.1,42.5,90,130.7,0.9281
ESP,100,1.0,32.5,270,130.58,0.929
ESP,100,1.0,42.5,90,130.58,0.929
ESP,100,1.3,37.5,270,127.36,0.9522
ESP,100,1.4,37.5,270,127.36,0.9522
ESP,100,1.2,37.5,270,127.29,0.9527
ESP,100,1.3,47.5,90,127.24,0.9531
ESP,100,1.1,37.5,270,127.2,0.9534
ESP,100,1.2,47.5,90,127.18,0.9535
ESP,100,1.4,47.5,90,127.15,0.9538
ESP,100,1.1,47.5,90,127.09,0.9542
ESP,100,1.0,37.5,270,127.06,0.9544
ESP,100,1.0,47.5,90,126.95,0.9552
ESP,100,1.3,42.5,270,123.66,0.9804
ESP,100,1.4,42.5,270,123.66,0.9804
ESP,100,1.2,42.5,270,123.59,0.981
ESP,100,1.1,42.5,270,123.49,0.9818
