Site,Calama
Latitude,-22.45
Longitude,-68.93
Timezone,-4
Elevation,1000
,,,,,,,,,
,,,,,,,,,
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Tdry,Wspd
2020,1,4,24,0,0.0,0.0,0.0,14.85,1.25
2020,1,5,1,0,0.0,0.0,0.0,14.4,1.1
2020,1,5,2,0,0.0,0.0,0.0,13.9,1.25
2020,1,5,3,0,0.0,0.0,0.0,13.2,1.4
2020,1,5,4,0,0.0,0.0,0.0,12.3,1.5499999999999998
2020,1,5,5,0,0.0,0.0,0.0,11.5,1.75
2020,1,5,6,0,0.0,0.0,0.0,11.5,1.8
2020,1,5,7,0,0.0,0.0,0.0,11.5,1.75
2020,1,5,8,0,47.55,17.95,4.0,13.2,1.65
2020,1,5,9,0,278.05,37.6,491.3,16.65,1.65
2020,1,5,10,0,581.95,40.25,1010.75,19.5,2.5
2020,1,5,11,0,805.5,40.25,1066.25,21.1,2.25
2020,1,5,12,0,983.85,41.7,1066.25,21.5,4.75
2020,1,5,13,0,1102.8,42.5,1096.4499999999998,21.5,7.3
2020,1,5,14,0,1123.85,42.65,1111.3,22.200000000000003,8.5
2020,1,5,15,0,1123.85,42.65,557.65,23.0,8.5
2020,1,5,16,0,1038.15,42.1,1093.8,23.45,8.25
2020,1,5,17,0,881.5,41.0,1045.6,23.45,7.9
2020,1,5,18,0,544.0,38.95,957.95,22.9,7.550000000000001
2020,1,5,19,0,176.9,34.85,957.95,21.25,6.95
2020,1,5,20,0,27.1,24.25,698.4,19.05,5.9
2020,1,5,21,0,27.1,8.2,249.9,16.9,4.5
2020,1,5,22,0,0.0,0.0,0.0,14.95,3.1
2020,1,5,23,0,0.0,0.0,0.0,13.25,1.9
2020,1,5,24,0,0.0,0.0,0.0,11.8,1.5
2020,1,6,1,0,0.0,0.0,0.0,10.6,1.5
2020,1,6,2,0,0.0,0.0,0.0,9.6,1.9
2020,1,6,3,0,0.0,0.0,0.0,8.75,2.3
2020,1,6,4,0,0.0,0.0,0.0,8.15,2.55
2020,1,6,5,0,0.0,0.0,0.0,7.75,2.6
2020,1,6,6,0,0.0,0.0,0.0,7.75,2.6500000000000004
2020,1,6,7,0,0.0,0.0,0.0,8.6,2.75
2020,1,6,8,0,104.3,14.45,0.0,11.3,2.75
2020,1,6,9,0,338.8,32.55,415.15,14.9,2.7
2020,1,6,10,0,592.0,37.900000000000006,949.25,18.0,2.7
2020,1,6,11,0,819.2,37.900000000000006,1087.1,19.95,4.15
2020,1,6,12,0,819.2,40.5,1116.7,21.1,6.65
2020,1,6,13,0,1049.8,42.15,1131.75,21.85,8.25
2020,1,6,14,0,1145.65,42.75,1132.4499999999998,22.6,8.7
2020,1,6,15,0,1050.1,42.75,1132.4499999999998,23.7,8.7
2020,1,6,16,0,1050.1,42.2,1120.4,24.6,8.35
2020,1,6,17,0,1050.1,41.05,1096.75,24.6,7.949999999999999
2020,1,6,18,0,890.5,38.95,1053.65,24.35,7.45
2020,1,6,19,0,550.2,34.95,967.7,22.8,6.7
2020,1,6,20,0,180.55,24.55,714.9000000000001,20.55,5.65
2020,1,6,21,0,28.3,8.4,260.1,18.45,4.15
2020,1,6,22,0,0.0,0.0,0.0,16.6,2.3
2020,1,6,23,0,0.0,0.0,0.0,15.05,1.65
2020,1,6,24,0,0.0,0.0,0.0,13.65,1.65
2020,1,7,1,0,0.0,0.0,0.0,12.3,2.0
2020,1,7,2,0,0.0,0.0,0.0,11.2,2.2
2020,1,7,3,0,0.0,0.0,0.0,10.15,2.5
2020,1,7,4,0,0.0,0.0,0.0,9.3,2.8
2020,1,7,5,0,0.0,0.0,0.0,8.8,2.95
2020,1,7,6,0,0.0,0.0,0.0,8.8,3.1
2020,1,7,7,0,0.0,0.0,0.0,9.6,3.1
2020,1,7,8,0,103.5,14.35,416.6,12.15,3.1
2020,1,7,9,0,337.5,32.4,916.45,15.6,2.8
2020,1,7,10,0,591.1,37.8,1034.75,18.55,2.1
2020,1,7,11,0,818.2,40.4,1088.15,20.3,2.1
2020,1,7,12,0,998.95,41.8,1116.55,20.3,5.15
2020,1,7,13,0,1118.9,42.55,1130.9499999999998,21.4,3.85
2020,1,7,14,0,1138.4499999999998,42.7,1131.65,10.9,8.0
2020,1,7,15,0,1138.4499999999998,42.7,1131.65,11.8,8.2
2020,1,7,16,0,1049.6,42.150000000000006,1119.1,24.450000000000003,7.9
2020,1,7,17,0,889.65,40.95,1094.4,12.65,7.9
2020,1,7,18,0,678.05,38.85,1050.4,23.6,7.5
2020,1,7,19,0,433.15,35.85,965.5,10.95,6.949999999999999
2020,1,7,20,0,181.25,33.25,717.2,8.8,6.05
2020,1,7,21,0,28.7,16.15,262.8,16.75,4.7
2020,1,7,22,0,0.0,0.0,0.0,15.25,3.1
2020,1,7,23,0,0.0,0.0,0.0,15.25,1.7999999999999998
2020,1,7,24,0,0.0,0.0,0.0,13.9,1.35
2020,1,8,1,0,0.0,0.0,0.0,12.75,1.35
2020,1,8,2,0,0.0,0.0,0.0,11.95,1.65
2020,1,8,3,0,0.0,0.0,0.0,11.05,1.95
2020,1,8,4,0,0.0,0.0,0.0,9.3,2.1
2020,1,8,5,0,0.0,0.0,0.0,7.85,2.35
2020,1,8,6,0,0.0,0.0,0.0,7.85,2.8
2020,1,8,7,0,0.0,0.0,0.0,8.7,2.7
2020,1,8,8,0,100.95,14.25,409.7,10.9,2.7
2020,1,8,9,0,321.8,32.25,417.3,14.15,2.4
2020,1,8,10,0,451.6,38.65,904.4,17.05,2.4
2020,1,8,11,0,687.95,41.85,1043.95,19.0,3.35
2020,1,8,12,0,991.15,42.6,1108.7,20.1,5.9
2020,1,8,13,0,1110.9,42.6,1123.1,20.9,7.55
2020,1,8,14,0,1130.6,42.65,1123.35,21.85,8.149999999999999
2020,1,8,15,0,1130.6,42.65,1123.35,23.05,8.149999999999999
2020,1,8,16,0,1042.75,42.1,1110.65,23.9,8.149999999999999
2020,1,8,17,0,884.2,40.95,1086.3000000000002,23.9,7.85
2020,1,8,18,0,674.2,38.85,1042.5,23.3,7.3
2020,1,8,19,0,307.70000000000005,34.85,957.45,21.35,6.5
2020,1,8,20,0,28.6,24.5,709.5,19.2,5.4
2020,1,8,21,0,0.0,8.4,259.2,17.5,3.8
2020,1,8,22,0,0.0,0.0,0.0,15.85,2.3
2020,1,8,23,0,0.0,0.0,0.0,14.35,1.1
2020,1,8,24,0,0.0,0.0,0.0,13.25,0.6000000000000001
2020,1,9,1,0,0.0,338.8154294860974,0.0,13.25,0.6000000000000001
2020,1,9,2,0,0.0,338.8154294860974,0.0,12.1,1.15
2020,1,9,3,0,0.0,0.0,0.0,10.35,1.7
2020,1,9,4,0,0.0,0.0,0.0,8.8,1.7
2020,1,9,5,0,0.0,0.0,0.0,8.1,2.3
2020,1,9,6,0,0.0,0.0,0.0,8.1,2.75
2020,1,9,7,0,0.0,0.0,0.0,7.55,2.8
2020,1,9,8,0,38.35,17.8,4.0,8.25,2.8
2020,1,9,9,0,265.85,37.400000000000006,493.9,12.6,2.05
2020,1,9,10,0,566.55,57.1,510.85,17.2,2.05
2020,1,9,11,0,688.95,40.7,1016.5,19.2,3.1
2020,1,9,12,0,880.9,42.45,1083.4,20.65,5.9
2020,1,9,13,0,1106.35,42.75,1119.05,22.15,7.5
2020,1,9,14,0,1130.0500000000002,42.6,1122.85,23.85,8.149999999999999
2020,1,9,15,0,1130.0500000000002,42.6,1122.85,24.8,8.2
2020,1,9,16,0,1045.25,42.65,1112.85,24.8,8.2
2020,1,9,17,0,682.0,103.05,557.6,24.3,8.0
2020,1,9,18,0,275.9,140.65,27.85,22.9,7.55
2020,1,9,19,0,144.65,140.65,27.85,21.0,6.1
2020,1,9,20,0,88.80000000000001,58.85,27.6,19.05,4.050000000000001
2020,1,9,21,0,28.6,0.0,22.5,19.05,2.4000000000000004
2020,1,9,22,0,0.0,0.0,0.0,17.65,2.4000000000000004
2020,1,9,23,0,0.0,0.0,0.0,39.55,1.4
2020,1,9,24,0,0.0,0.0,0.0,37.85,1.4
2020,1,10,1,0,0.0,0.0,0.0,12.55,1.5
2020,1,10,2,0,0.0,0.0,0.0,10.85,1.95
2020,1,10,3,0,0.0,0.0,0.0,9.85,2.3
2020,1,10,4,0,0.0,0.0,0.0,8.8,2.65
2020,1,10,5,0,0.0,0.0,0.0,7.399999999999999,2.95
2020,1,10,6,0,0.0,0.0,0.0,3.3,3.1
2020,1,10,7,0,0.0,0.0,0.0,3.3,3.45
2020,1,10,8,0,98.35,14.1,407.05,6.0,3.45
2020,1,10,9,0,326.95,32.0,901.65,13.9,3.05
2020,1,10,10,0,580.75,37.55,1026.0500000000002,17.15,3.05
2020,1,10,11,0,809.45,40.25,1082.5500000000002,19.25,3.5
2020,1,10,12,0,992.75,40.25,1113.25,20.5,5.800000000000001
2020,1,10,13,0,1116.0500000000002,41.75,1129.9,21.65,7.6
2020,1,10,14,0,1141.35,42.6,1134.4,22.950000000000003,8.350000000000001
2020,1,10,15,0,1141.35,42.35,1134.4,24.1,8.350000000000001
2020,1,10,16,0,1057.2,42.35,1125.25,24.8,8.3
2020,1,10,17,0,898.55,41.05,1102.45,24.8,7.899999999999999
2020,1,10,18,0,687.1,39.0,1060.5500000000002,24.4,7.6
2020,1,10,19,0,439.45,35.0,973.5,22.6,7.05
2020,1,10,20,0,154.45,24.6,720.35,20.15,5.95
2020,1,10,21,0,154.45,8.45,263.55,17.85,4.550000000000001
2020,1,10,22,0,0.0,0.0,0.0,15.85,2.85
2020,1,10,23,0,0.0,0.0,0.0,14.15,1.85
2020,1,10,24,0,0.0,0.0,0.0,12.0,1.85
2020,1,11,1,0,0.0,0.0,0.0,10.15,2.0
2020,1,11,2,0,0.0,0.0,0.0,9.35,2.35
2020,1,11,3,0,0.0,0.0,0.0,9.35,2.7
2020,1,11,4,0,0.0,0.0,0.0,8.65,3.0
2020,1,11,5,0,0.0,0.0,0.0,7.95,3.05
2020,1,11,6,0,0.0,0.0,0.0,7.95,3.2
2020,1,11,7,0,0.0,0.0,412.3,8.3,3.25
2020,1,11,8,0,0.0,14.1,412.3,10.75,3.25
2020,1,11,9,0,98.45,32.05,912.65,14.1,2.6
2020,1,11,10,0,453.15,37.65,1056.5500000000002,17.0,2.6
2020,1,11,11,0,815.4,40.35,1123.2,18.950000000000003,3.35
2020,1,11,12,0,1000.2,41.8,1138.5,20.0,5.75
2020,1,11,13,0,1123.65,42.55,1138.5,20.9,7.25
2020,1,11,14,0,1146.8,42.65,1139.9,22.05,7.75
2020,1,11,15,0,1146.8,42.65,1139.9,23.3,7.85
2020,1,11,16,0,1060.95,42.1,1128.85,24.4,7.85
2020,1,11,17,0,902.0,40.95,1106.1,24.55,7.6
2020,1,11,18,0,690.05,38.900000000000006,1064.25,24.55,6.800000000000001
2020,1,11,19,0,442.3,35.0,979.25,21.65,5.800000000000001
2020,1,11,20,0,186.05,24.8,730.5999999999999,18.15,4.5
2020,1,11,21,0,30.1,8.6,269.95,16.3,4.5
2020,1,11,22,0,0.0,0.0,0.0,16.3,2.9000000000000004
2020,1,11,23,0,0.0,0.0,0.0,14.65,1.8
2020,1,11,24,0,0.0,0.0,0.0,13.05,1.6
2020,1,12,1,0,0.0,0.0,0.0,11.6,1.6
2020,1,12,2,0,0.0,0.0,0.0,10.4,1.6
2020,1,12,3,0,0.0,0.0,0.0,9.3,2.0
2020,1,12,4,0,0.0,0.0,0.0,8.4,2.7
2020,1,12,5,0,0.0,0.0,0.0,7.75,3.35
2020,1,12,6,0,0.0,0.0,0.0,7.75,3.6
2020,1,12,7,0,0.0,0.0,0.0,8.5,3.9
2020,1,12,8,0,98.85,14.05,419.15,11.6,3.9
2020,1,12,9,0,331.04999999999995,32.0,927.0,15.15,4.5
2020,1,12,10,0,591.25,37.7,1053.15,17.9,4.199999999999999
2020,1,12,11,0,826.35,40.45,1053.15,20.05,5.6
2020,1,12,12,0,1015.6,41.9,1110.65,21.5,7.2
2020,1,12,13,0,1142.75,42.7,1147.45,22.55,7.55
2020,1,12,14,0,1168.75,42.9,1162.4,23.55,8.25
2020,1,12,15,0,1168.75,42.9,1162.4,24.5,8.25
2020,1,12,16,0,1083.6999999999998,42.4,1153.15,25.25,8.100000000000001
2020,1,12,17,0,923.0,41.3,1131.75,25.25,7.800000000000001
2020,1,12,18,0,707.95,39.3,1091.85,25.1,7.550000000000001
2020,1,12,19,0,454.15,35.3,1004.85,23.05,6.85
2020,1,12,20,0,190.75,24.950000000000003,750.55,20.2,5.75
2020,1,12,21,0,30.95,8.65,278.65,17.799999999999997,4.3
2020,1,12,22,0,0.0,0.0,0.0,15.95,2.35
2020,1,12,23,0,0.0,0.0,0.0,14.4,1.7000000000000002
2020,1,12,24,0,0.0,0.0,0.0,12.8,0.65
2020,1,13,1,0,0.0,0.0,0.0,11.4,1.7000000000000002
2020,1,13,2,0,0.0,0.0,0.0,10.35,2.55
2020,1,13,3,0,0.0,0.0,0.0,0.7999999999999998,3.2
2020,1,13,4,0,0.0,0.0,0.0,-0.4500000000000002,3.6
2020,1,13,5,0,0.0,0.0,0.0,-0.4500000000000002,3.9
2020,1,13,6,0,0.0,0.0,0.0,7.95,4.05
2020,1,13,7,0,0.0,0.0,0.0,9.45,4.05
2020,1,13,8,0,99.9,14.05,429.4,12.65,4.05
2020,1,13,9,0,335.20000000000005,32.05,947.0,16.55,3.1
2020,1,13,10,0,598.3,37.75,1070.65,19.3,3.1
2020,1,13,11,0,834.35,40.5,1124.35,21.05,3.6
2020,1,13,12,0,1023.15,42.0,1152.6,22.15,6.1
2020,1,13,13,0,1148.65,42.75,1165.5,22.950000000000003,7.699999999999999
2020,1,13,14,0,1171.15,42.9,1165.5,23.8,8.2
2020,1,13,15,0,1171.15,42.9,1164.25,24.85,8.2
2020,1,13,16,0,1083.35,42.4,1152.1,25.65,8.05
2020,1,13,17,0,922.1,41.25,1103.05,25.65,7.800000000000001
2020,1,13,18,0,706.75,36.6,1007.05,25.15,7.65
2020,1,13,19,0,455.05,16.35,765.35,22.95,7.0
2020,1,13,20,0,193.4,0.0,765.35,20.1,5.800000000000001
2020,1,13,21,0,32.05,0.0,289.3,20.1,4.1
2020,1,13,22,0,0.0,0.0,0.0,17.549999999999997,2.5
2020,1,13,23,0,0.0,0.0,0.0,14.5,2.45
2020,1,13,24,0,0.0,0.0,0.0,11.85,2.45
2020,1,14,1,0,0.0,0.0,0.0,10.6,3.05
2020,1,14,2,0,0.0,0.0,0.0,9.6,3.25
2020,1,14,3,0,0.0,0.0,0.0,8.6,3.4
2020,1,14,4,0,0.0,0.0,0.0,7.65,3.55
2020,1,14,5,0,0.0,0.0,0.0,7.550000000000001,3.65
2020,1,14,6,0,0.0,0.0,0.0,7.550000000000001,3.7
2020,1,14,7,0,0.0,0.0,0.0,8.850000000000001,3.75
2020,1,14,8,0,98.8,14.0,429.35,12.0,3.75
2020,1,14,9,0,333.5,32.05,948.05,12.0,3.0
2020,1,14,10,0,333.5,37.85,1074.0,15.65,3.0
2020,1,14,11,0,598.2,40.6,1129.85,19.0,3.5500000000000003
2020,1,14,12,0,918.6,42.1,1159.9499999999998,10.45,6.050000000000001
2020,1,14,13,0,1156.35,42.85,1174.6999999999998,21.4,7.699999999999999
2020,1,14,14,0,1211.0,43.0,1175.1,23.05,8.25
2020,1,14,15,0,1211.0,43.0,1175.1,24.9,8.25
2020,1,14,16,0,1124.4,42.5,1164.0,24.9,8.05
2020,1,14,17,0,932.8,41.35,1142.4,25.0,7.75
2020,1,14,18,0,581.3499999999999,39.3,1102.4,22.75,7.05
2020,1,14,19,0,195.55,35.4,1019.45,19.700000000000003,7.05
2020,1,14,20,0,32.35,25.15,774.25,22.75,5.85
2020,1,14,21,0,32.35,8.75,293.0,19.700000000000003,4.2
2020,1,14,22,0,0.0,0.0,0.0,16.35,2.55
2020,1,14,23,0,0.0,0.0,0.0,13.55,2.55
2020,1,14,24,0,0.0,0.0,0.0,11.9,2.6
2020,1,15,1,0,0.0,0.0,0.0,10.4,3.3
2020,1,15,2,0,0.0,0.0,0.0,9.15,3.5
2020,1,15,3,0,0.0,0.0,0.0,8.05,3.8
2020,1,15,4,0,0.0,0.0,0.0,7.1,3.9
2020,1,15,5,0,0.0,0.0,0.0,7.1,3.9
2020,1,15,6,0,0.0,0.0,0.0,7.2,3.9
2020,1,15,7,0,0.0,0.0,0.0,8.6,3.85
2020,1,15,8,0,100.0,14.0,436.7625,11.35,3.65
2020,1,15,9,0,338.35,32.05,964.4125,11.35,2.75
2020,1,15,10,0,607.0,37.900000000000006,1092.6999999999998,6.6,2.75
2020,1,15,11,0,848.15,40.650000000000006,1148.4,8.6,3.55
2020,1,15,12,0,1041.5,42.150000000000006,1174.2,11.1,6.199999999999999
2020,1,15,13,0,1167.4,42.95,1184.0,22.55,7.800000000000001
2020,1,15,14,0,1191.3,43.1,1184.0,23.5,8.350000000000001
2020,1,15,15,0,1191.3,43.1,1182.0875,24.9,8.350000000000001
2020,1,15,16,0,1104.5,42.6,1169.025,25.7,8.2
2020,1,15,17,0,937.825,41.45,1144.975,25.7,8.0
2020,1,15,18,0,718.125,39.400000000000006,1103.4875000000002,25.1,7.7
2020,1,15,19,0,463.025,35.5,1023.45,23.05,7.0
2020,1,15,20,0,463.025,35.5,780.125,20.35,5.85
2020,1,15,21,0,196.775,25.25,295.27500000000003,18.200000000000003,4.15
2020,1,15,22,0,32.65,8.8,0.0,16.6,2.35
2020,1,15,23,0,0.0,0.0,0.0,15.0,2.2
2020,1,15,24,0,0.0,0.0,0.0,13.3,2.2
2020,1,16,1,0,0.0,0.0,0.0,11.9,2.9
2020,1,16,2,0,0.0,0.0,0.0,10.85,3.15
2020,1,16,3,0,0.0,0.0,0.0,10.0,3.5
2020,1,16,4,0,0.0,0.0,0.0,8.95,3.75
2020,1,16,5,0,0.0,0.0,0.0,8.0,3.9
2020,1,16,6,0,0.0,0.0,0.0,8.0,4.0
2020,1,16,7,0,0.0,0.0,0.0,8.6,4.0
2020,1,16,8,0,97.85,13.9,435.45,11.6,4.2
2020,1,16,9,0,333.75,31.9,962.3,15.6,4.2
2020,1,16,10,0,601.75,37.85,962.3,18.85,4.35
2020,1,16,11,0,842.1500000000001,40.650000000000006,1088.9,20.95,5.9
2020,1,16,12,0,1034.8,42.150000000000006,1152.05,20.95,5.9
2020,1,16,13,0,1163.0,42.95,1182.25,10.85,7.55
2020,1,16,14,0,1187.0,43.1,1182.25,11.15,7.95
2020,1,16,15,0,1187.0,43.1,1180.25,12.6,7.95
2020,1,16,16,0,1098.7,42.6,1167.3,25.4,7.85
2020,1,16,17,0,935.0,41.45,1143.4499999999998,25.4,7.699999999999999
2020,1,16,18,0,582.8,39.400000000000006,1101.3,23.450000000000003,7.3
2020,1,16,19,0,164.0,35.5,1019.85,20.1,5.9
2020,1,16,20,0,0.0,25.25,482.7,17.9,3.85
2020,1,16,21,0,0.0,8.8,0.0,17.9,1.85
2020,1,16,22,0,0.0,0.0,0.0,16.25,2.25
2020,1,16,23,0,0.0,0.0,0.0,14.7,2.05
2020,1,16,24,0,0.0,0.0,0.0,12.35,2.05
2020,1,17,1,0,0.0,0.0,0.0,12.35,2.05
2020,1,17,2,0,0.0,0.0,0.0,9.95,2.7
2020,1,17,3,0,0.0,0.0,0.0,9.95,3.05
2020,1,17,4,0,0.0,0.0,0.0,8.6,3.45
2020,1,17,5,0,0.0,0.0,0.0,8.45,3.7
2020,1,17,6,0,0.0,0.0,0.0,8.45,3.8
2020,1,17,7,0,0.0,0.0,0.0,9.55,4.0
2020,1,17,8,0,95.25,13.85,427.75,12.45,4.0
2020,1,17,9,0,327.35,31.8,948.2,12.45,3.25
2020,1,17,10,0,593.55,31.8,1076.95,16.45,3.25
2020,1,17,11,0,833.0,37.7,1131.55,20.15,3.65
2020,1,17,12,0,1025.1,41.0,1160.25,22.1,6.1
2020,1,17,13,0,1153.25,42.8,1173.0500000000002,22.700000000000003,7.85
